corporate_member_id,corporate_id,member_id,designation,enrollment_date
CM00564,CO042,M002279,Analyst,2022-04-08
CM00565,CO049,M002282,Executive,2021-09-19
CM00566,CO013,M002288,Executive,2021-05-21
CM00567,CO053,M002289,Software Engineer,2022-09-24
CM00568,CO002,M002301,Analyst,2024-12-22
CM00569,CO043,M002302,Team Lead,2024-02-10
CM00570,CO014,M002304,Software Engineer,2021-12-21
CM00571,CO023,M002310,Director,2023-04-22
CM00572,CO042,M002313,Software Engineer,2023-07-16
CM00573,CO046,M002317,Director,2023-09-24
CM00574,CO035,M002322,Team Lead,2024-07-05
CM00575,CO038,M002330,Manager,2021-01-03
CM00576,CO011,M002338,Analyst,2025-05-21
CM00577,CO023,M002342,Manager,2023-10-11
CM00578,CO048,M002343,Director,2023-05-15
CM00579,CO055,M002349,Consultant,2023-02-12
CM00580,CO011,M002356,Software Engineer,2021-11-02
CM00581,CO001,M002359,Executive,2023-08-03
CM00582,CO006,M002363,Analyst,2023-04-24
CM00583,CO030,M002364,Team Lead,2021-05-22
CM00584,CO040,M002370,Analyst,2023-11-16
CM00585,CO008,M002371,Consultant,2023-07-02
CM00586,CO008,M002372,Team Lead,2021-08-13
CM00587,CO034,M002376,Director,2023-07-25
CM00588,CO035,M002378,Director,2023-05-30
CM00589,CO059,M002386,Software Engineer,2025-01-08
CM00590,CO018,M002390,Software Engineer,2022-05-09
CM00591,CO058,M002402,Consultant,2023-02-22
CM00592,CO006,M002404,Team Lead,2021-02-12
CM00593,CO029,M002409,Executive,2022-11-21
CM00594,CO002,M002411,Team Lead,2024-11-08
CM00595,CO009,M002420,Director,2022-09-01
CM00596,CO060,M002421,Analyst,2021-12-31
CM00597,CO052,M002423,Consultant,2023-03-01
CM00598,CO041,M002435,Software Engineer,2022-08-10
CM00599,CO030,M002436,Executive,2023-06-15
CM00600,CO010,M002437,Director,2021-09-03
CM00601,CO047,M002441,Software Engineer,2022-10-07
CM00602,CO030,M002443,Team Lead,2024-08-08
CM00603,CO059,M002445,Software Engineer,2021-08-26
CM00604,CO044,M002449,Executive,2021-04-19
CM00605,CO027,M002453,Director,2022-06-03
CM00606,CO014,M002454,Executive,2021-09-01
CM00607,CO048,M002458,Director,2021-02-21
CM00608,CO021,M002461,Software Engineer,2021-12-10
CM00609,CO018,M002468,Analyst,2022-09-14
CM00610,CO012,M002477,Manager,2023-04-28
CM00611,CO055,M002481,Software Engineer,2023-12-27
CM00612,CO011,M002490,Director,2024-08-04
CM00613,CO027,M002492,Executive,2024-03-30
CM00614,CO050,M002494,Analyst,2022-08-16
CM00615,CO057,M002496,Team Lead,2021-03-09
