room_id,hospital_id,room_number,room_type,floor_number,daily_charge,room_status
RM00577,H021,213,Private,3,6014,Occupied
RM00578,H021,228,General,5,1846,Occupied
RM00579,H022,404,Private,4,5965,Vacant
RM00580,H022,316,Emergency,6,4182,Vacant
RM00581,H022,402,Emergency,6,3853,Vacant
RM00582,H022,404,Private,3,6184,Vacant
RM00583,H022,508,Private,5,6445,Occupied
RM00584,H022,114,General,4,1815,Occupied
RM00585,H022,426,ICU,4,12339,Vacant
RM00586,H022,605,Semi-Private,3,3432,Occupied
RM00587,H022,220,Private,2,5842,Occupied
RM00588,H022,128,ICU,5,12384,Vacant
RM00589,H022,424,Semi-Private,1,3053,Vacant
RM00590,H023,121,ICU,3,12248,Vacant
RM00591,H023,228,Private,6,5993,Vacant
RM00592,H023,215,Emergency,6,4337,Occupied
RM00593,H023,403,Semi-Private,4,2874,Occupied
RM00594,H023,529,Private,5,5821,Occupied
RM00595,H023,123,ICU,2,11840,Occupied
RM00596,H023,310,ICU,3,12186,Occupied
RM00597,H023,223,ICU,4,12014,Occupied
RM00598,H023,625,Emergency,1,4013,Vacant
RM00599,H023,626,Semi-Private,2,2980,Occupied
RM00600,H023,325,General,2,1399,Occupied
RM00601,H024,524,ICU,5,12362,Vacant
RM00602,H024,321,General,5,1756,Vacant
RM00603,H024,424,Semi-Private,1,2894,Occupied
RM00604,H024,325,Semi-Private,4,3382,Vacant
RM00605,H024,616,Semi-Private,6,3282,Vacant
RM00606,H024,501,Private,1,5983,Vacant
RM00607,H024,620,Emergency,2,4433,Occupied
RM00608,H024,108,General,2,1754,Occupied
RM00609,H024,329,Private,4,6073,Vacant
RM00610,H024,302,Emergency,6,4283,Vacant
RM00611,H024,603,Emergency,1,4031,Vacant
RM00612,H024,207,Emergency,4,4393,Occupied
RM00613,H024,508,Private,5,5951,Vacant
RM00614,H024,203,Emergency,2,4361,Occupied
RM00615,H024,622,General,2,1555,Vacant
RM00616,H024,424,Semi-Private,4,3003,Vacant
RM00617,H024,110,ICU,6,11863,Occupied
RM00618,H025,120,ICU,3,12173,Vacant
RM00619,H025,129,ICU,6,12127,Occupied
RM00620,H025,121,Emergency,1,3811,Occupied
RM00621,H025,510,Emergency,6,3954,Vacant
RM00622,H025,206,Emergency,2,3865,Vacant
RM00623,H025,617,ICU,5,12151,Vacant
RM00624,H025,507,Emergency,6,4465,Occupied
RM00625,H025,122,General,5,1913,Vacant
RM00626,H025,116,General,2,1535,Occupied
RM00627,H025,629,Semi-Private,6,3309,Occupied
RM00628,H025,508,ICU,1,11892,Vacant
RM00629,H025,304,Private,1,6321,Vacant
RM00630,H025,325,Semi-Private,3,3056,Occupied
RM00631,H025,410,Semi-Private,2,3073,Vacant
RM00632,H025,126,Private,4,6313,Occupied
RM00633,H025,424,Private,4,5844,Occupied
RM00634,H025,217,Emergency,6,4455,Occupied
RM00635,H025,503,General,3,1749,Vacant
RM00636,H025,101,Emergency,3,4456,Occupied
RM00637,H025,425,Emergency,5,3979,Vacant
RM00638,H025,329,Semi-Private,1,2828,Vacant
RM00639,H025,305,Semi-Private,3,2847,Occupied
RM00640,H025,204,ICU,1,12185,Vacant
RM00641,H025,510,ICU,3,11867,Vacant
RM00642,H025,426,ICU,4,12489,Vacant
RM00643,H025,403,Emergency,6,4280,Vacant
RM00644,H025,423,Emergency,2,4376,Maintenance
RM00645,H025,628,Semi-Private,1,3108,Occupied
RM00646,H025,412,Emergency,6,4359,Vacant
RM00647,H025,123,General,3,1364,Occupied
RM00648,H025,524,General,2,1652,Vacant
RM00649,H025,202,Semi-Private,4,3152,Occupied
RM00650,H025,418,ICU,2,12132,Vacant
RM00651,H025,229,Private,5,6326,Occupied
RM00652,H025,320,General,4,1325,Vacant
RM00653,H026,419,Private,1,6182,Vacant
RM00654,H026,321,Emergency,6,4400,Vacant
RM00655,H026,424,General,1,1565,Occupied
RM00656,H026,316,General,2,1322,Vacant
RM00657,H026,518,ICU,4,12139,Vacant
RM00658,H026,206,ICU,2,12334,Vacant
RM00659,H026,108,Private,2,6495,Occupied
RM00660,H026,602,Emergency,2,4499,Vacant
RM00661,H026,216,General,6,1788,Occupied
RM00662,H026,227,Semi-Private,2,3125,Occupied
RM00663,H026,326,Semi-Private,1,3247,Occupied
RM00664,H026,603,Private,6,6178,Occupied
RM00665,H026,528,General,5,1506,Occupied
RM00666,H026,109,ICU,1,12189,Occupied
RM00667,H026,327,Semi-Private,3,3025,Vacant
RM00668,H026,530,Private,1,6463,Vacant
RM00669,H026,227,Emergency,3,4154,Vacant
RM00670,H026,610,ICU,6,12230,Vacant
RM00671,H026,208,Semi-Private,1,3078,Vacant
RM00672,H026,122,Semi-Private,6,3147,Occupied
RM00673,H026,504,General,3,1978,Occupied
RM00674,H026,211,Private,1,6240,Occupied
RM00675,H026,327,Semi-Private,5,3479,Occupied
RM00676,H026,509,Emergency,5,3864,Maintenance
RM00677,H026,215,Private,2,6043,Occupied
RM00678,H026,528,Semi-Private,2,3343,Occupied
RM00679,H026,313,Private,5,6149,Vacant
RM00680,H026,229,General,2,1309,Vacant
RM00681,H026,307,General,5,1604,Vacant
RM00682,H026,605,Emergency,4,4408,Occupied
RM00683,H027,225,Semi-Private,6,3086,Occupied
RM00684,H027,507,General,6,1678,Vacant
RM00685,H027,109,Emergency,4,3916,Vacant
RM00686,H027,124,General,3,1341,Vacant
RM00687,H027,530,Emergency,2,4081,Occupied
RM00688,H027,426,ICU,1,12467,Occupied
RM00689,H027,124,General,1,1875,Vacant
RM00690,H027,128,Semi-Private,4,3047,Occupied
RM00691,H027,619,Emergency,4,4007,Occupied
RM00692,H027,308,Private,6,6046,Vacant
RM00693,H027,307,ICU,1,12306,Maintenance
RM00694,H027,513,Semi-Private,1,2989,Vacant
RM00695,H027,301,Semi-Private,6,3486,Occupied
RM00696,H027,319,Semi-Private,2,3305,Vacant
RM00697,H027,503,Private,5,6033,Occupied
RM00698,H027,205,General,5,1784,Maintenance
RM00699,H027,122,Private,5,6405,Occupied
RM00700,H027,617,ICU,6,12067,Vacant
RM00701,H027,303,Semi-Private,6,3374,Vacant
RM00702,H027,627,General,2,1744,Occupied
RM00703,H027,610,General,5,1442,Vacant
RM00704,H027,303,Emergency,4,4038,Vacant
RM00705,H028,316,Private,4,6465,Vacant
RM00706,H028,421,Semi-Private,5,3226,Vacant
RM00707,H028,522,Semi-Private,2,2805,Occupied
RM00708,H028,324,General,6,1776,Occupied
RM00709,H028,328,Private,6,5993,Vacant
RM00710,H028,110,Semi-Private,2,3056,Vacant
RM00711,H028,112,Emergency,5,4375,Vacant
RM00712,H028,613,Semi-Private,5,3281,Occupied
RM00713,H028,222,Semi-Private,4,3011,Occupied
RM00714,H028,630,Private,1,5946,Vacant
RM00715,H028,102,Semi-Private,5,2908,Vacant
RM00716,H028,220,General,1,1371,Occupied
RM00717,H028,116,Private,3,6182,Maintenance
RM00718,H028,526,ICU,4,11972,Occupied
RM00719,H028,209,ICU,5,12112,Vacant
RM00720,H028,202,Private,3,6018,Occupied
RM00721,H028,629,Private,4,6144,Vacant
RM00722,H028,505,General,2,1867,Occupied
RM00723,H028,504,Emergency,4,3882,Occupied
RM00724,H028,603,ICU,5,12134,Vacant
RM00725,H028,116,Emergency,2,3946,Vacant
RM00726,H028,313,General,2,1657,Occupied
RM00727,H028,510,Semi-Private,4,3332,Vacant
RM00728,H028,623,Semi-Private,5,3254,Occupied
RM00729,H028,207,Semi-Private,5,3028,Vacant
RM00730,H028,402,Semi-Private,3,3424,Occupied
RM00731,H028,423,Semi-Private,3,2829,Occupied
RM00732,H028,318,Private,3,6431,Occupied
RM00733,H028,530,Private,1,5969,Occupied
RM00734,H028,101,Semi-Private,5,2901,Occupied
RM00735,H028,618,Private,6,5824,Vacant
RM00736,H028,308,General,6,1828,Occupied
RM00737,H028,408,Semi-Private,4,3451,Vacant
RM00738,H029,502,Private,5,6386,Occupied
RM00739,H029,403,Private,5,6456,Vacant
RM00740,H029,607,General,2,1603,Vacant
RM00741,H029,229,ICU,1,12091,Maintenance
RM00742,H029,207,General,3,1566,Occupied
RM00743,H029,402,Semi-Private,2,3129,Occupied
RM00744,H029,210,ICU,6,12362,Occupied
RM00745,H029,128,Private,6,6161,Occupied
RM00746,H029,604,ICU,5,11857,Vacant
RM00747,H029,505,Private,2,6477,Vacant
RM00748,H029,527,Semi-Private,4,3224,Occupied
RM00749,H029,612,Emergency,6,3907,Vacant
RM00750,H029,501,General,5,1484,Vacant
RM00751,H029,311,ICU,6,12263,Occupied
RM00752,H029,328,ICU,5,12466,Vacant
RM00753,H029,301,Semi-Private,4,3239,Vacant
RM00754,H029,427,Semi-Private,6,3036,Occupied
RM00755,H029,325,Semi-Private,2,3307,Occupied
RM00756,H029,313,General,2,1354,Occupied
RM00757,H029,511,General,5,1511,Vacant
RM00758,H029,225,Private,5,6201,Occupied
RM00759,H030,102,Semi-Private,2,3213,Occupied
RM00760,H030,410,Private,4,6070,Vacant
RM00761,H030,213,Emergency,4,4302,Occupied
RM00762,H030,113,Semi-Private,1,3332,Occupied
RM00763,H030,230,General,5,1906,Occupied
RM00764,H030,120,Private,2,6399,Occupied
RM00765,H030,629,Emergency,6,4200,Occupied
RM00766,H030,212,Emergency,2,4435,Vacant
RM00767,H030,406,Private,1,6132,Occupied
RM00768,H030,227,ICU,4,12265,Vacant
RM00769,H030,520,Emergency,6,3961,Vacant
RM00770,H030,103,ICU,2,12241,Occupied
RM00771,H030,413,General,4,1524,Occupied
RM00772,H030,123,Semi-Private,6,3458,Occupied
RM00773,H030,319,ICU,3,11868,Occupied
RM00774,H030,424,ICU,2,11824,Vacant
RM00775,H030,229,Private,2,6253,Vacant
RM00776,H030,526,ICU,4,12412,Occupied
RM00777,H030,215,ICU,4,11953,Vacant
RM00778,H030,219,Private,4,6474,Vacant
RM00779,H030,202,ICU,1,12276,Vacant
RM00780,H030,223,Semi-Private,2,3454,Vacant
RM00781,H030,529,Emergency,1,4285,Occupied
RM00782,H030,621,Semi-Private,3,3228,Occupied
RM00783,H030,104,Semi-Private,5,3264,Vacant
RM00784,H030,613,General,2,1692,Vacant
RM00785,H030,516,Emergency,4,4025,Occupied
RM00786,H030,112,General,6,1952,Vacant
RM00787,H030,310,Semi-Private,4,3335,Occupied
RM00788,H030,120,General,3,1759,Vacant
RM00789,H030,425,Private,6,6406,Occupied
RM00790,H030,613,Semi-Private,6,2901,Occupied
RM00791,H030,230,ICU,6,12424,Vacant
RM00792,H030,419,Emergency,2,4383,Occupied
RM00793,H030,221,ICU,4,12301,Occupied
RM00794,H030,220,ICU,4,12194,Occupied
RM00795,H030,216,Private,2,6212,Occupied
RM00796,H030,312,ICU,1,12062,Occupied
RM00797,H030,304,Emergency,6,4000,Maintenance
RM00798,H030,519,Semi-Private,1,2900,Occupied
RM00799,H030,226,Private,5,6461,Occupied
RM00800,H030,501,ICU,4,12294,Vacant
